ticker,security,gics_sector,gics_sub_industry,index_membership,rows,last_close,median_dv_126d,passes
ENOV,Enovis,Health Care,Health Care Equipment,S&P 600,4526,24.1200008392334,22460512.483119965,True
ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,S&P 600,3544,36.02000045776367,209649874.6790886,True
ENR,Energizer,Consumer Staples,Household Products,S&P 600,2740,17.850000381469727,22576204.637145996,True
ENS,EnerSys,Industrials,Electrical Components & Equipment,S&P 400,5475,220.4499969482422,66274872.05886841,True
ENSG,Ensign Group,Health Care,Health Care Facilities,S&P 400,4649,175.9499969482422,69429304.52957153,True
ENTG,Entegris,Information Technology,Semiconductor Materials & Equipment,S&P 400,5620,149.2899932861328,266920396.42333984,True
ENVA,"Enova International, Inc.",Financials,Consumer Finance,S&P 600,2884,169.27999877929688,34679257.32727051,True
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,S&P 500,5620,140.82000732421875,507138287.05215454,True
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,S&P 500,3580,109.63999938964844,166259639.11819458,True
EPR,EPR Properties,Real Estate,Other Specialized REITs,S&P 400,5620,55.9900016784668,38475797.48878479,True
EPRT,"Essential Properties Realty Trust, Inc.",Real Estate,Diversified REITs,S&P 600,1978,31.18000030517578,59859701.53179169,True
EQH,Equitable Holdings,Financials,Diversified Financial Services,S&P 400,2007,44.040000915527344,129754690.45028685,True
EQIX,Equinix,Real Estate,Data Center REITs,S&P 500,5620,1078.4599609375,475600513.6413574,True
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,S&P 500,5620,66.25,142282732.05413818,True
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,S&P 500,5620,58.720001220703125,502067738.0882263,True
ERIE,Erie Indemnity,Financials,Insurance Brokers,S&P 500,5620,221.2400054931641,47837594.94476318,True
ES,Eversource Energy,Utilities,Electric Utilities,S&P 500,5620,68.9000015258789,168938849.99313354,True
ESAB,ESAB,Industrials,Industrial Machinery & Supplies & Components,S&P 400,1029,97.2300033569336,51951680.545425415,True
ESE,ESCO Technologies Inc.,Industrials,Industrial Machinery & Supplies & Components,S&P 600,5620,339.3500061035156,55522232.16171265,True
ESI,Element Solutions,Materials,Specialty Chemicals,S&P 600,3152,43.9900016784668,80019266.4604187,True
ESNT,Essent Group Ltd.,Financials,Commercial & Residential Mortgage Finance,S&P 400,3145,60.16999816894531,36930045.946884155,True
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,S&P 500,5620,266.69000244140625,119924972.38311768,True
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,S&P 500,5620,410.8599853515625,961532755.519104,True
ETR,Entergy,Utilities,Electric Utilities,S&P 500,5620,117.36000061035156,254441395.56732178,True
ETSY,Etsy,Consumer Discretionary,Broadline Retail,S&P 600,2780,62.95000076293945,182966383.51974487,True
EVR,Evercore,Financials,Investment Banking & Brokerage,S&P 400,4962,326.3299865722656,151588347.26104736,True
EVRG,Evergy,Utilities,Electric Utilities,S&P 500,5620,81.61000061035156,148932958.93707275,True
EW,Edwards Lifesciences,Health Care,Health Care Equipment,S&P 500,5620,82.91000366210938,337609950.0507355,True
EWBC,East West Bancorp,Financials,Regional Banks,S&P 400,5620,123.5500030517578,97147729.90722656,True
EXC,Exelon,Utilities,Electric Utilities,S&P 500,5620,46.18000030517578,351079537.1562958,True
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,S&P 500,1314,99.76000213623048,365248934.04312134,True
EXEL,Exelixis,Health Care,Biotechnology,S&P 400,5620,44.41999816894531,105971722.29862213,True
EXLS,EXL Service,Industrials,Data Processing & Outsourced Services,S&P 400,4914,31.26000022888184,55135206.87637329,True
EXP,Eagle Materials,Materials,Construction Materials,S&P 400,5620,209.72999572753903,88553989.53781128,True
EXPD,Expeditors International,Industrials,Air Freight & Logistics,S&P 500,5620,153.0800018310547,191249404.83016968,True
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 500,5230,248.6499938964844,485806408.0581665,True
EXPO,"Exponent, Inc.",Industrials,Research & Consulting Services,S&P 400,5620,65.94000244140625,29436991.869735718,True
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,S&P 500,5465,139.7899932861328,163765712.93411255,True
EXTR,"Extreme Networks, Inc.",Information Technology,Communications Equipment,S&P 600,5620,23.709999084472656,23824844.725894928,True
